date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:16:53	359/359	---MCZ	200	added ('OK')	text/plain	date:Tue,%2023%20Sep%202025%2016:47:33%20GMT	https://www.rethinkbehavioralhealth.com/robots.txt		(from )
21:16:53	263383/263383	---MCZ	200	added ('OK')	text/html	date:Tue,%2023%20Sep%202025%2019:16:50%20GMT	https://www.rethinkbehavioralhealth.com/	C:/My%20Web%20Sites/John%20web/www.rethinkbehavioralhealth.com/index.html	(from )
21:16:53	1128/1128	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2263fe423f-468%22	https://www.rethinkbehavioralhealth.com/wp-content/uploads/2023/02/rethinkbh-hero-wave.svg	C:/My%20Web%20Sites/John%20web/www.rethinkbehavioralhealth.com/wp-content/uploads/2023/02/rethinkbh-hero-wave.svg	(from https://www.rethinkbehavioralhealth.com/)
21:16:53	5096/5096	---MCZ	200	added ('OK')	text/css	etag:W/%2268d1d6e1-13e8%22	https://www.rethinkbehavioralhealth.com/wp-content/cache/min/1/wp-content/themes/hello-elementor/assets/css/theme.css?ver=1758582497	C:/My%20Web%20Sites/John%20web/www.rethinkbehavioralhealth.com/wp-content/cache/min/1/wp-content/themes/hello-elementor/assets/css/themeebbc.css	(from https://www.rethinkbehavioralhealth.com/)
21:16:54	97/97	---MCZ	200	added ('OK')	text/css	etag:W/%2268d1d6e1-61%22	https://www.rethinkbehavioralhealth.com/wp-content/cache/min/1/wp-content/plugins/jet-menu/integration/themes/hello-elementor/assets/css/style.css?ver=1758582497	C:/My%20Web%20Sites/John%20web/www.rethinkbehavioralhealth.com/wp-content/cache/min/1/wp-content/plugins/jet-menu/integration/themes/hello-elementor/assets/css/styleebbc.css	(from https://www.rethinkbehavioralhealth.com/)
21:16:54	67223/67223	---MCZ	200	added ('OK')	text/css	etag:W/%2268d1d6e1-10697%22	https://www.rethinkbehavioralhealth.com/wp-content/cache/min/1/wp-content/plugins/jet-engine/assets/css/frontend.css?ver=1758582497	C:/My%20Web%20Sites/John%20web/www.rethinkbehavioralhealth.com/wp-content/cache/min/1/wp-content/plugins/jet-engine/assets/css/frontendebbc.css	(from https://www.rethinkbehavioralhealth.com/)
21:16:54	1108/1108	---MCZ	200	added ('OK')	application/rss+xml	etag:W/%22f98cf31d29e0cf85537429de7784f665%22	https://www.rethinkbehavioralhealth.com/feed/	C:/My%20Web%20Sites/John%20web/www.rethinkbehavioralhealth.com/feed/index.html	(from https://www.rethinkbehavioralhealth.com/)
21:16:54	5455/5455	---MCZ	200	added ('OK')	text/css	etag:W/%2268d1d6e1-154f%22	https://www.rethinkbehavioralhealth.com/wp-content/cache/min/1/wp-content/themes/hello-elementor/assets/css/reset.css?ver=1758582497	C:/My%20Web%20Sites/John%20web/www.rethinkbehavioralhealth.com/wp-content/cache/min/1/wp-content/themes/hello-elementor/assets/css/resetebbc.css	(from https://www.rethinkbehavioralhealth.com/)
21:16:55	7181/7181	---MCZ	200	added ('OK')	text/css	etag:W/%2268d1d6e1-1c0d%22	https://www.rethinkbehavioralhealth.com/wp-content/cache/min/1/wp-content/themes/hello-elementor/assets/css/header-footer.css?ver=1758582497	C:/My%20Web%20Sites/John%20web/www.rethinkbehavioralhealth.com/wp-content/cache/min/1/wp-content/themes/hello-elementor/assets/css/header-footerebbc.css	(from https://www.rethinkbehavioralhealth.com/)
21:16:55	89209/89209	---MCZ	200	added ('OK')	text/css	etag:W/%2268d1d6e1-15c79%22	https://www.rethinkbehavioralhealth.com/wp-content/cache/min/1/wp-content/plugins/jet-menu/assets/public/css/public.css?ver=1758582497	C:/My%20Web%20Sites/John%20web/www.rethinkbehavioralhealth.com/wp-content/cache/min/1/wp-content/plugins/jet-menu/assets/public/css/publicebbc.css	(from https://www.rethinkbehavioralhealth.com/)
21:16:55	762/762	---MCZ	200	added ('OK')	application/rss+xml	etag:W/%22f98cf31d29e0cf85537429de7784f665%22	https://www.rethinkbehavioralhealth.com/comments/feed/	C:/My%20Web%20Sites/John%20web/www.rethinkbehavioralhealth.com/comments/feed/index.html	(from https://www.rethinkbehavioralhealth.com/)
21:16:55	19518/19518	---MCZ	200	added ('OK')	text/css	etag:W/%2268d1d6e1-4c3e%22	https://www.rethinkbehavioralhealth.com/wp-content/cache/min/1/wp-content/plugins/jet-popup/assets/css/jet-popup-frontend.css?ver=1758582497	C:/My%20Web%20Sites/John%20web/www.rethinkbehavioralhealth.com/wp-content/cache/min/1/wp-content/plugins/jet-popup/assets/css/jet-popup-frontendebbc.css	(from https://www.rethinkbehavioralhealth.com/)
21:16:55	53650/53650	---MCZ	200	added ('OK')	text/css	etag:W/%2268cb4546-d192%22	https://www.rethinkbehavioralhealth.com/wp-content/plugins/elementor/assets/css/frontend.min.css?ver=3.32.1	C:/My%20Web%20Sites/John%20web/www.rethinkbehavioralhealth.com/wp-content/plugins/elementor/assets/css/frontend.min5759.css	(from https://www.rethinkbehavioralhealth.com/)
21:16:56	10470/10470	---MCZ	200	added ('OK')	text/css	etag:W/%2268cb4546-28e6%22	https://www.rethinkbehavioralhealth.com/wp-content/plugins/elementor/assets/css/widget-icon-list.min.css?ver=3.32.1	C:/My%20Web%20Sites/John%20web/www.rethinkbehavioralhealth.com/wp-content/plugins/elementor/assets/css/widget-icon-list.min5759.css	(from https://www.rethinkbehavioralhealth.com/)
21:16:56	254/254	---MCZ	200	added ('OK')	text/css	etag:W/%2268cb4546-fe%22	https://www.rethinkbehavioralhealth.com/wp-content/plugins/elementor/assets/css/widget-image.min.css?ver=3.32.1	C:/My%20Web%20Sites/John%20web/www.rethinkbehavioralhealth.com/wp-content/plugins/elementor/assets/css/widget-image.min5759.css	(from https://www.rethinkbehavioralhealth.com/)
21:16:56	162/162	---MCZ	200	added ('OK')	text/css	etag:W/%2268cb464e-a2%22	https://www.rethinkbehavioralhealth.com/wp-content/plugins/elementor-pro/assets/css/modules/sticky.min.css?ver=3.32.1	C:/My%20Web%20Sites/John%20web/www.rethinkbehavioralhealth.com/wp-content/plugins/elementor-pro/assets/css/modules/sticky.min5759.css	(from https://www.rethinkbehavioralhealth.com/)
21:16:56	778/778	---MCZ	200	added ('OK')	text/css	etag:W/%2268cb464e-30a%22	https://www.rethinkbehavioralhealth.com/wp-content/plugins/elementor-pro/assets/css/modules/motion-fx.min.css?ver=3.32.1	C:/My%20Web%20Sites/John%20web/www.rethinkbehavioralhealth.com/wp-content/plugins/elementor-pro/assets/css/modules/motion-fx.min5759.css	(from https://www.rethinkbehavioralhealth.com/)
21:16:56	4298/4298	---MCZ	200	added ('OK')	text/css	etag:W/%2268cb4546-10ca%22	https://www.rethinkbehavioralhealth.com/wp-content/plugins/elementor/assets/css/widget-divider.min.css?ver=3.32.1	C:/My%20Web%20Sites/John%20web/www.rethinkbehavioralhealth.com/wp-content/plugins/elementor/assets/css/widget-divider.min5759.css	(from https://www.rethinkbehavioralhealth.com/)
21:16:57	600/600	---MCZ	200	added ('OK')	text/css	etag:W/%2268cb4546-258%22	https://www.rethinkbehavioralhealth.com/wp-content/plugins/elementor/assets/css/widget-heading.min.css?ver=3.32.1	C:/My%20Web%20Sites/John%20web/www.rethinkbehavioralhealth.com/wp-content/plugins/elementor/assets/css/widget-heading.min5759.css	(from https://www.rethinkbehavioralhealth.com/)
21:16:57	1833/1833	---MCZ	200	added ('OK')	text/css	etag:W/%2268cb4546-729%22	https://www.rethinkbehavioralhealth.com/wp-content/plugins/elementor/assets/css/widget-spacer.min.css?ver=3.32.1	C:/My%20Web%20Sites/John%20web/www.rethinkbehavioralhealth.com/wp-content/plugins/elementor/assets/css/widget-spacer.min5759.css	(from https://www.rethinkbehavioralhealth.com/)
21:16:57	5150/5150	---MCZ	200	added ('OK')	text/css	etag:W/%2268cb4546-141e%22	https://www.rethinkbehavioralhealth.com/wp-content/plugins/elementor/assets/css/widget-social-icons.min.css?ver=3.32.1	C:/My%20Web%20Sites/John%20web/www.rethinkbehavioralhealth.com/wp-content/plugins/elementor/assets/css/widget-social-icons.min5759.css	(from https://www.rethinkbehavioralhealth.com/)
21:16:57	7025/7025	---MCZ	200	added ('OK')	text/css	etag:W/%2268cb4546-1b71%22	https://www.rethinkbehavioralhealth.com/wp-content/plugins/elementor/assets/css/conditionals/apple-webkit.min.css?ver=3.32.1	C:/My%20Web%20Sites/John%20web/www.rethinkbehavioralhealth.com/wp-content/plugins/elementor/assets/css/conditionals/apple-webkit.min5759.css	(from https://www.rethinkbehavioralhealth.com/)
21:16:57	61345/61345	---MCZ	200	added ('OK')	text/css	etag:W/%2268cb4a90-efa1%22	https://www.rethinkbehavioralhealth.com/wp-content/uploads/elementor/css/custom-jet-blocks.css?ver=1.3.20	C:/My%20Web%20Sites/John%20web/www.rethinkbehavioralhealth.com/wp-content/uploads/elementor/css/custom-jet-blocks31c1.css	(from https://www.rethinkbehavioralhealth.com/)
21:16:58	21652/21652	---MCZ	200	added ('OK')	text/css	etag:W/%2268d1d6e2-5494%22	https://www.rethinkbehavioralhealth.com/wp-content/cache/min/1/wp-content/plugins/elementor/assets/lib/eicons/css/elementor-icons.min.css?ver=1758582498	C:/My%20Web%20Sites/John%20web/www.rethinkbehavioralhealth.com/wp-content/cache/min/1/wp-content/plugins/elementor/assets/lib/eicons/css/elementor-icons.mindeef.css	(from https://www.rethinkbehavioralhealth.com/)
21:16:58	23905/23905	---MCZ	200	added ('OK')	text/css	etag:W/%2268d1d68a-5d61%22	https://www.rethinkbehavioralhealth.com/wp-content/uploads/elementor/css/post-5.css?ver=1758582410	C:/My%20Web%20Sites/John%20web/www.rethinkbehavioralhealth.com/wp-content/uploads/elementor/css/post-56972.css	(from https://www.rethinkbehavioralhealth.com/)
21:16:58	34950/34950	---MCZ	200	added ('OK')	text/css	etag:W/%2268d1d6e2-8886%22	https://www.rethinkbehavioralhealth.com/wp-content/cache/min/1/wp-content/plugins/jet-tabs/assets/css/jet-tabs-frontend.css?ver=1758582498	C:/My%20Web%20Sites/John%20web/www.rethinkbehavioralhealth.com/wp-content/cache/min/1/wp-content/plugins/jet-tabs/assets/css/jet-tabs-frontenddeef.css	(from https://www.rethinkbehavioralhealth.com/)
21:16:58	60583/60583	---MCZ	200	added ('OK')	text/css	etag:W/%2268d1d6e2-eca7%22	https://www.rethinkbehavioralhealth.com/wp-content/cache/min/1/wp-content/plugins/elementor/assets/lib/font-awesome/css/all.min.css?ver=1758582498	C:/My%20Web%20Sites/John%20web/www.rethinkbehavioralhealth.com/wp-content/cache/min/1/wp-content/plugins/elementor/assets/lib/font-awesome/css/all.mindeef.css	(from https://www.rethinkbehavioralhealth.com/)
21:16:59	26702/26702	---MCZ	200	added ('OK')	text/css	etag:W/%2268cb4546-684e%22	https://www.rethinkbehavioralhealth.com/wp-content/plugins/elementor/assets/lib/font-awesome/css/v4-shims.min.css?ver=3.32.1	C:/My%20Web%20Sites/John%20web/www.rethinkbehavioralhealth.com/wp-content/plugins/elementor/assets/lib/font-awesome/css/v4-shims.min5759.css	(from https://www.rethinkbehavioralhealth.com/)
21:16:59	11862/11862	---MCZ	200	added ('OK')	text/css	etag:W/%2268cb464e-2e56%22	https://www.rethinkbehavioralhealth.com/wp-content/plugins/elementor-pro/assets/css/widget-animated-headline.min.css?ver=3.32.1	C:/My%20Web%20Sites/John%20web/www.rethinkbehavioralhealth.com/wp-content/plugins/elementor-pro/assets/css/widget-animated-headline.min5759.css	(from https://www.rethinkbehavioralhealth.com/)
21:16:59	5846/5846	---MCZ	200	added ('OK')	text/css	etag:W/%2268cb4546-16d6%22	https://www.rethinkbehavioralhealth.com/wp-content/plugins/elementor/assets/css/widget-icon-box.min.css?ver=3.32.1	C:/My%20Web%20Sites/John%20web/www.rethinkbehavioralhealth.com/wp-content/plugins/elementor/assets/css/widget-icon-box.min5759.css	(from https://www.rethinkbehavioralhealth.com/)
